timestamp,bin_start,bin_end,src_ip,dst_ip,count,total_bytes,flag_type
1257253200000000,1257253200000000,1257256800000000,172.28.1.134,205.63.202.67,1,74,SYN
1257253200000000,1257253200000000,1257256800000000,205.63.202.67,172.28.1.134,1,74,SYN+ACK
1257253200000000,1257253200000000,1257256800000000,172.28.1.134,205.63.202.67,3,198,ACK
1257253200000000,1257253200000000,1257256800000000,172.28.1.134,205.63.202.67,1,96,PSH+ACK
1257253200000000,1257253200000000,1257256800000000,205.63.202.67,172.28.1.134,1,66,ACK
1257253200000000,1257253200000000,1257256800000000,172.28.1.203,205.63.202.67,1,74,SYN
1257253200000000,1257253200000000,1257256800000000,205.63.202.67,172.28.1.203,1,74,SYN+ACK
1257253200000000,1257253200000000,1257256800000000,172.28.1.203,205.63.202.67,3,198,ACK
1257253200000000,1257253200000000,1257256800000000,172.28.1.203,205.63.202.67,1,96,PSH+ACK
1257253200000000,1257253200000000,1257256800000000,205.63.202.67,172.28.1.203,1,66,ACK
1257253200000000,1257253200000000,1257256800000000,205.63.202.67,172.28.1.134,1,615,PSH+ACK
1257253200000000,1257253200000000,1257256800000000,205.63.202.67,172.28.1.134,1,66,FIN+ACK
1257253200000000,1257253200000000,1257256800000000,172.28.129.124,205.63.202.67,1,74,SYN
1257253200000000,1257253200000000,1257256800000000,205.63.202.67,172.28.129.124,1,74,SYN+ACK
1257253200000000,1257253200000000,1257256800000000,172.28.129.124,205.63.202.67,3,198,ACK
1257253200000000,1257253200000000,1257256800000000,172.28.129.124,205.63.202.67,1,96,PSH+ACK
1257253200000000,1257253200000000,1257256800000000,205.63.202.67,172.28.129.124,1,66,ACK
1257253200000000,1257253200000000,1257256800000000,205.63.202.67,172.28.1.203,1,615,PSH+ACK
1257253200000000,1257253200000000,1257256800000000,205.63.202.67,172.28.1.203,1,66,FIN+ACK
1257253200000000,1257253200000000,1257256800000000,205.63.202.67,172.28.129.124,1,615,PSH+ACK
1257253200000000,1257253200000000,1257256800000000,205.63.202.67,172.28.129.124,1,66,FIN+ACK
1257253200000000,1257253200000000,1257256800000000,172.28.133.12,205.63.202.67,1,74,SYN
1257253200000000,1257253200000000,1257256800000000,205.63.202.67,172.28.133.12,1,74,SYN+ACK
1257253200000000,1257253200000000,1257256800000000,172.28.133.12,205.63.202.67,3,198,ACK
