src,dst,st,et,p,sp,dp,ct,ir
172.28.13.29,77.91.104.22,1257264490809235,1257264558754706,11,52164,80,abortive,
172.28.13.29,77.91.104.22,1257264490816786,1257264558754707,19,56730,80,abortive,
172.28.13.29,77.91.104.22,1257285376760904,1257285439610637,11,49798,80,abortive,
172.28.13.29,77.91.104.22,1257285376768520,1257285439610661,17,39811,80,abortive,
172.28.13.29,77.91.104.22,1257299856793737,1257299950017414,11,49620,80,abortive,
172.28.13.29,77.91.104.22,1257299856801379,1257299950017427,15,39192,80,abortive,
172.28.13.29,77.91.104.22,1257346225780271,1257346312286435,11,44313,80,abortive,
172.28.13.29,77.91.104.22,1257346225787753,1257346312286451,15,38157,80,abortive,
172.28.13.29,77.91.104.22,1257425956656053,1257426070698688,11,55515,80,abortive,
172.28.13.29,77.91.104.22,1257425956669777,1257426070698704,13,39155,80,abortive,
