src,dst,st,et,p,sp,dp,ct,ir
172.28.133.166,24.145.1.1,1257264330116081,1257264336182708,19,50722,25,abortive,
24.145.1.1,172.28.133.166,1257264330118599,1257264330118752,2,40164,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257264339330521,1257264340383023,19,45943,25,abortive,
24.145.1.1,172.28.133.166,1257264339332990,1257264339333140,2,50925,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257264342480576,1257264343704598,19,54248,25,abortive,
24.145.1.1,172.28.133.166,1257264342482879,1257264342483027,2,33938,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257264346629369,1257264347737135,19,48501,25,abortive,
24.145.1.1,172.28.133.166,1257264346631784,1257264346631934,2,53157,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257264351829598,1257264352891269,19,58479,25,abortive,
24.145.1.1,172.28.133.166,1257264351832018,1257264351832170,2,33547,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257264357994125,1257264359041753,19,52710,25,abortive,
24.145.1.1,172.28.133.166,1257264357996562,1257264357996713,2,46794,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257264367248683,1257264368309023,19,49312,25,abortive,
24.145.1.1,172.28.133.166,1257264367251297,1257264367251462,2,34241,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257264371357341,1257264376104570,19,38420,25,abortive,
24.145.1.1,172.28.133.166,1257264371359995,1257264371360162,2,52699,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257264382313412,1257264383365694,19,43375,25,abortive,
24.145.1.1,172.28.133.166,1257264382315850,1257264382316019,2,52994,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257264397898708,1257264398963888,19,57241,25,abortive,
24.145.1.1,172.28.133.166,1257264397901151,1257264397901300,2,49643,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257264402159221,1257264403228064,19,47983,25,abortive,
24.145.1.1,172.28.133.166,1257264402161570,1257264402166727,2,47964,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257264411430883,1257264416440094,19,60803,25,abortive,
24.145.1.1,172.28.133.166,1257264411433275,1257264411433422,2,57287,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257264415774124,1257264417638633,21,41340,25,abortive,
24.145.1.1,172.28.133.166,1257264415782021,1257264415782173,2,57247,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257264419161055,1257264420309098,19,44562,25,abortive,
24.145.1.1,172.28.133.166,1257264419163672,1257264419163865,2,58326,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257264424457326,1257264425532359,19,43500,25,abortive,
24.145.1.1,172.28.133.166,1257264424462056,1257264424462219,2,43001,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257264439062055,1257264440091001,19,56154,25,abortive,
24.145.1.1,172.28.133.166,1257264439064496,1257264439064673,2,48416,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257264450503536,1257264457362960,19,50894,25,abortive,
24.145.1.1,172.28.133.166,1257264450506123,1257264450506288,2,52231,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257264457221158,1257264458297165,19,42514,25,abortive,
24.145.1.1,172.28.133.166,1257264457223830,1257264457223979,2,60798,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257264462408446,1257264463431745,19,52321,25,abortive,
24.145.1.1,172.28.133.166,1257264462410868,1257264462411029,2,49802,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257264472733412,1257264473758724,19,37749,25,abortive,
24.145.1.1,172.28.133.166,1257264472735872,1257264472736023,2,37718,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257264480972766,1257264482068440,19,44356,25,abortive,
24.145.1.1,172.28.133.166,1257264480975222,1257264480975369,2,48202,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257264487155342,1257264491790316,19,37448,25,abortive,
24.145.1.1,172.28.133.166,1257264487158051,1257264487158201,2,40987,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257264738053797,1257264739191380,19,46431,25,abortive,
24.145.1.1,172.28.133.166,1257264738056260,1257264738056400,2,36924,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257264739086057,1257264740161649,19,54105,25,abortive,
24.145.1.1,172.28.133.166,1257264739088548,1257264739088726,2,38867,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257264742244071,1257264743312838,19,57940,25,abortive,
24.145.1.1,172.28.133.166,1257264742246498,1257264742246640,2,55826,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257264753632433,1257264754659514,19,39909,25,abortive,
24.145.1.1,172.28.133.166,1257264753634858,1257264753635000,2,49145,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257264768086048,1257264769108852,19,39441,25,abortive,
24.145.1.1,172.28.133.166,1257264768088739,1257264768088917,2,46150,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257264771162128,1257264772234183,19,48320,25,abortive,
24.145.1.1,172.28.133.166,1257264771164707,1257264771164849,2,50532,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257264779389882,1257264780410689,21,57177,25,abortive,
24.145.1.1,172.28.133.166,1257264779392424,1257264779392564,2,59952,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257264788643381,1257264794914226,19,52040,25,abortive,
24.145.1.1,172.28.133.166,1257264788645694,1257264788645835,2,60604,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257285213905174,1257285214930511,19,44328,25,abortive,
24.145.1.1,172.28.133.166,1257285213907745,1257285213907895,2,42022,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257285239484486,1257285241052003,19,34531,25,abortive,
24.145.1.1,172.28.133.166,1257285239487073,1257285239487229,2,45204,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257285255517281,1257285256667375,19,50432,25,abortive,
24.145.1.1,172.28.133.166,1257285255519656,1257285255519802,2,57244,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257285264819848,1257285265974508,19,48268,25,abortive,
24.145.1.1,172.28.133.166,1257285264822284,1257285264822431,2,34310,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257285275163281,1257285276378567,19,56148,25,abortive,
24.145.1.1,172.28.133.166,1257285275166373,1257285275166558,2,57179,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257285285535593,1257285290679076,19,49119,25,abortive,
24.145.1.1,172.28.133.166,1257285285540972,1257285285541121,2,48266,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257285287631264,1257285290680085,19,51989,25,abortive,
24.145.1.1,172.28.133.166,1257285287633868,1257285287634018,2,44843,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257285292417276,1257285293571746,19,48918,25,abortive,
24.145.1.1,172.28.133.166,1257285292419727,1257285292419878,2,33323,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257285293441179,1257285294782725,21,41143,25,abortive,
24.145.1.1,172.28.133.166,1257285293443528,1257285293443678,2,57200,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257285295567554,1257285296657974,19,59670,25,abortive,
24.145.1.1,172.28.133.166,1257285295569984,1257285295570129,2,41723,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257285302787682,1257285303814840,19,42283,25,abortive,
24.145.1.1,172.28.133.166,1257285302790144,1257285302790294,2,42897,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257285308982538,1257285310098317,19,50543,25,abortive,
24.145.1.1,172.28.133.166,1257285308984954,1257285308985103,2,50975,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257299766888045,1257299767934627,19,46224,25,abortive,
24.145.1.1,172.28.133.166,1257299766890607,1257299766890759,2,53085,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257299770990229,1257299772021845,19,37017,25,abortive,
24.145.1.1,172.28.133.166,1257299770994513,1257299770994663,2,42033,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257299783322085,1257299784442053,19,50232,25,abortive,
24.145.1.1,172.28.133.166,1257299783324661,1257299783324811,2,54856,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257299797623330,1257299798699279,19,42921,25,abortive,
24.145.1.1,172.28.133.166,1257299797625885,1257299797626034,2,42726,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257299801758893,1257299802821288,19,52410,25,abortive,
24.145.1.1,172.28.133.166,1257299801761313,1257299801761460,2,34395,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257299809029378,1257299810119640,19,43343,25,abortive,
24.145.1.1,172.28.133.166,1257299809031796,1257299809031945,2,58943,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257299810073715,1257299811131553,19,59817,25,abortive,
24.145.1.1,172.28.133.166,1257299810076056,1257299810076206,2,37085,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257299817286804,1257299818377006,19,45981,25,abortive,
24.145.1.1,172.28.133.166,1257299817289509,1257299817289659,2,41857,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257346124845077,1257346125871869,19,53471,25,abortive,
24.145.1.1,172.28.133.166,1257346124847749,1257346124847898,2,44157,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257346159767373,1257346160796540,19,39409,25,abortive,
24.145.1.1,172.28.133.166,1257346159770010,1257346159770192,2,55518,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257346163893803,1257346164949676,19,43545,25,abortive,
24.145.1.1,172.28.133.166,1257346163896458,1257346163896658,2,43942,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257346164913271,1257346165982451,19,37158,25,abortive,
24.145.1.1,172.28.133.166,1257346164915676,1257346164915825,2,33950,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257346174167885,1257346175179701,21,45861,25,abortive,
24.145.1.1,172.28.133.166,1257346174170374,1257346174170528,2,38845,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257346175190112,1257346176233679,19,37688,25,abortive,
24.145.1.1,172.28.133.166,1257346175192552,1257346175192744,2,33904,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257346176215444,1257346177275387,19,37899,25,abortive,
24.145.1.1,172.28.133.166,1257346176217928,1257346176218107,2,58782,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257346180337384,1257346182731409,19,36890,25,abortive,
24.145.1.1,172.28.133.166,1257346180339857,1257346180340044,2,44916,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257346182458188,1257346183641220,21,35046,25,abortive,
24.145.1.1,172.28.133.166,1257346182461031,1257346182461182,2,53350,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257346192829613,1257346193895383,19,48667,25,abortive,
24.145.1.1,172.28.133.166,1257346192831986,1257346192832136,2,59676,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257346193851760,1257346194918078,19,40929,25,abortive,
24.145.1.1,172.28.133.166,1257346193854195,1257346193854370,2,34037,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257346202173274,1257346203230536,19,51376,25,abortive,
24.145.1.1,172.28.133.166,1257346202175699,1257346202175880,2,51370,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257346204213898,1257346205273652,19,59212,25,abortive,
24.145.1.1,172.28.133.166,1257346204216377,1257346204216530,2,57362,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257346212471854,1257346213518254,19,54755,25,abortive,
24.145.1.1,172.28.133.166,1257346212474595,1257346212474742,2,38135,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257346216588389,1257346218257048,21,43798,25,abortive,
24.145.1.1,172.28.133.166,1257346216590877,1257346216591038,2,54176,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257346221981069,1257346223014120,19,40004,25,abortive,
24.145.1.1,172.28.133.166,1257346221983586,1257346221983734,2,39613,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257346232333734,1257346233401100,19,60870,25,abortive,
24.145.1.1,172.28.133.166,1257346232336254,1257346232336419,2,56808,113,invalid,rst_during_handshake
172.28.133.166,24.145.1.1,1257346239549607,1257346240624900,19,58005,25,abortive,
