src,dst,st,et,p,sp,dp,ct,ir
172.28.3.39,24.145.1.1,1257265180995415,1257265182063308,19,42020,25,abortive,
24.145.1.1,172.28.3.39,1257265180998146,1257265180998300,2,50119,113,invalid,rst_during_handshake
172.28.3.39,24.145.1.1,1257265183052129,1257265184109418,19,51880,25,abortive,
24.145.1.1,172.28.3.39,1257265183054654,1257265183054791,2,43735,113,invalid,rst_during_handshake
172.28.3.39,24.145.1.1,1257265190258964,1257265191422661,21,49955,25,abortive,
24.145.1.1,172.28.3.39,1257265190337075,1257265190337237,2,38903,113,invalid,rst_during_handshake
172.28.3.39,24.145.1.1,1257265196579468,1257265200862445,19,56685,25,abortive,
24.145.1.1,172.28.3.39,1257265196581997,1257265196582146,2,60240,113,invalid,rst_during_handshake
172.28.3.39,24.145.1.1,1257265197607743,1257265200862440,19,46461,25,abortive,
24.145.1.1,172.28.3.39,1257265197610181,1257265197610332,2,60001,113,invalid,rst_during_handshake
172.28.3.39,24.145.1.1,1257265211467319,1257265212608951,19,36800,25,abortive,
24.145.1.1,172.28.3.39,1257265211469702,1257265211469856,2,50691,113,invalid,rst_during_handshake
172.28.3.39,24.145.1.1,1257265218719425,1257265219769424,19,32872,25,abortive,
24.145.1.1,172.28.3.39,1257265218721754,1257265218721905,2,58678,113,invalid,rst_during_handshake
172.28.3.39,24.145.1.1,1257265219755884,1257265220828079,19,45202,25,abortive,
24.145.1.1,172.28.3.39,1257265219758290,1257265219758441,2,55580,113,invalid,rst_during_handshake
172.28.3.39,24.145.1.1,1257265229289607,1257265230309904,21,53401,25,abortive,
24.145.1.1,172.28.3.39,1257265229292420,1257265229292583,2,48086,113,invalid,rst_during_handshake
172.28.3.39,24.145.1.1,1257265230320132,1257265231350532,19,41906,25,abortive,
24.145.1.1,172.28.3.39,1257265230322951,1257265230323103,2,50060,113,invalid,rst_during_handshake
172.28.3.39,24.145.1.1,1257265233403153,1257265234549345,19,38887,25,abortive,
24.145.1.1,172.28.3.39,1257265233405947,1257265233406119,2,60338,113,invalid,rst_during_handshake
172.28.3.39,24.145.1.1,1257265254957277,1257265255993361,21,38371,25,abortive,
24.145.1.1,172.28.3.39,1257265254965816,1257265254965969,2,43531,113,invalid,rst_during_handshake
172.28.3.39,24.145.1.1,1257265260145201,1257265261280852,19,47505,25,abortive,
24.145.1.1,172.28.3.39,1257265260148214,1257265260148362,2,53732,113,invalid,rst_during_handshake
172.28.3.39,24.145.1.1,1257265263235000,1257265264266196,19,38923,25,abortive,
24.145.1.1,172.28.3.39,1257265263237412,1257265263237591,2,43850,113,invalid,rst_during_handshake
172.28.3.39,24.145.1.1,1257265281873534,1257265282948896,19,36504,25,abortive,
24.145.1.1,172.28.3.39,1257265281876067,1257265281876259,2,51722,113,invalid,rst_during_handshake
172.28.3.39,24.145.1.1,1257265291205296,1257265292808456,19,36898,25,abortive,
24.145.1.1,172.28.3.39,1257265291212245,1257265291212392,2,51690,113,invalid,rst_during_handshake
172.28.3.39,24.145.1.1,1257265301656398,1257265302694671,19,56135,25,abortive,
