src,dst,st,et,p,sp,dp,ct,ir
172.28.27.162,64.180.1.1,1257264466815585,1257264468023922,19,60308,25,abortive,
64.180.1.1,172.28.27.162,1257264466818902,1257264466819042,2,45966,113,invalid,rst_during_handshake
172.28.27.162,64.180.1.1,1257264467849448,1257264469069440,19,43827,25,abortive,
64.180.1.1,172.28.27.162,1257264467863647,1257264467863795,2,42601,113,invalid,rst_during_handshake
172.28.27.162,64.180.1.1,1257264474091658,1257264475143896,19,36209,25,abortive,
64.180.1.1,172.28.27.162,1257264474094104,1257264474094255,2,57553,113,invalid,rst_during_handshake
172.28.27.162,64.180.1.1,1257264476151023,1257264477182245,19,55641,25,abortive,
64.180.1.1,172.28.27.162,1257264476153454,1257264476153607,2,53288,113,invalid,rst_during_handshake
172.28.27.162,64.180.1.1,1257264477173480,1257264478198140,19,50468,25,abortive,
64.180.1.1,172.28.27.162,1257264477176519,1257264477176693,2,55637,113,invalid,rst_during_handshake
172.28.27.162,64.180.1.1,1257264483423743,1257264484461210,19,44507,25,abortive,
64.180.1.1,172.28.27.162,1257264483430509,1257264483430692,2,57700,113,invalid,rst_during_handshake
172.28.27.162,64.180.1.1,1257264489560956,1257264491830242,21,41308,25,abortive,
64.180.1.1,172.28.27.162,1257264489563386,1257264489563537,2,59293,113,invalid,rst_during_handshake
172.28.27.162,64.180.1.1,1257264491184937,1257264492945670,21,57020,25,abortive,
64.180.1.1,172.28.27.162,1257264491187353,1257264491187502,2,57147,113,invalid,rst_during_handshake
172.28.27.162,64.180.1.1,1257264494684224,1257264495801963,19,50603,25,abortive,
64.180.1.1,172.28.27.162,1257264494686869,1257264494687019,2,41149,113,invalid,rst_during_handshake
172.28.27.162,64.180.1.1,1257264495719818,1257264496758638,19,50256,25,abortive,
64.180.1.1,172.28.27.162,1257264495722755,1257264495722932,2,34826,113,invalid,rst_during_handshake
172.28.27.162,64.180.1.1,1257264498793824,1257264499821090,19,38397,25,abortive,
64.180.1.1,172.28.27.162,1257264498796730,1257264498796916,2,55934,113,invalid,rst_during_handshake
