src,dst,st,et,p,sp,dp,ct,ir
172.28.214.23,70.98.1.1,1257260017771418,1257260018892127,19,50599,25,abortive,
70.98.1.1,172.28.214.23,1257260017775174,1257260017775323,2,38618,113,invalid,rst_during_handshake
172.28.214.23,70.98.1.1,1257260019859499,1257260020921190,19,45461,25,abortive,
70.98.1.1,172.28.214.23,1257260019861896,1257260019862043,2,45773,113,invalid,rst_during_handshake
172.28.214.23,70.98.1.1,1257260022948342,1257260024035474,19,52611,25,abortive,
70.98.1.1,172.28.214.23,1257260022950694,1257260022950844,2,52775,113,invalid,rst_during_handshake
172.28.214.23,70.98.1.1,1257260026023525,1257260031217293,21,44571,25,abortive,
70.98.1.1,172.28.214.23,1257260026026373,1257260026026599,2,36629,113,invalid,rst_during_handshake
172.28.214.23,70.98.1.1,1257260031259933,1257260032350327,19,55195,25,abortive,
70.98.1.1,172.28.214.23,1257260031262464,1257260031262646,2,45798,113,invalid,rst_during_handshake
172.28.214.23,70.98.1.1,1257260032291477,1257260033444780,19,47712,25,abortive,
70.98.1.1,172.28.214.23,1257260032294016,1257260032294166,2,50482,113,invalid,rst_during_handshake
172.28.214.23,70.98.1.1,1257260036468682,1257260037552277,19,52837,25,abortive,
70.98.1.1,172.28.214.23,1257260036470937,1257260036471097,2,48827,113,invalid,rst_during_handshake
172.28.214.23,70.98.1.1,1257260044869791,1257260045899173,19,59183,25,abortive,
70.98.1.1,172.28.214.23,1257260044872233,1257260044872392,2,40341,113,invalid,rst_during_handshake
172.28.214.23,70.98.1.1,1257260045897387,1257260046934738,19,50707,25,abortive,
70.98.1.1,172.28.214.23,1257260045899852,1257260045900011,2,50954,113,invalid,rst_during_handshake
172.28.214.23,70.98.1.1,1257260046930581,1257260048013027,19,36986,25,abortive,
70.98.1.1,172.28.214.23,1257260046933206,1257260046933373,2,51544,113,invalid,rst_during_handshake
172.28.214.23,70.98.1.1,1257260048988185,1257260050025451,19,38261,25,abortive,
70.98.1.1,172.28.214.23,1257260048990808,1257260048991007,2,51797,113,invalid,rst_during_handshake
172.28.214.23,70.98.1.1,1257260050021700,1257260051195041,19,54293,25,abortive,
70.98.1.1,172.28.214.23,1257260050024255,1257260050024447,2,52011,113,invalid,rst_during_handshake
172.28.214.23,70.98.1.1,1257260055242746,1257260056264616,19,42950,25,abortive,
70.98.1.1,172.28.214.23,1257260055245201,1257260055245348,2,39640,113,invalid,rst_during_handshake
172.28.214.23,70.98.1.1,1257260060364616,1257260061387017,19,35862,25,abortive,
70.98.1.1,172.28.214.23,1257260060367085,1257260060367249,2,42683,113,invalid,rst_during_handshake
172.28.214.23,70.98.1.1,1257260061388168,1257260062587709,19,33481,25,abortive,
70.98.1.1,172.28.214.23,1257260061390600,1257260061390750,2,37734,113,invalid,rst_during_handshake
172.28.214.23,70.98.1.1,1257260062439986,1257260063776900,19,60624,25,abortive,
70.98.1.1,172.28.214.23,1257260062482369,1257260062489560,2,54667,113,invalid,rst_during_handshake
172.28.214.23,70.98.1.1,1257260067665818,1257260068733543,19,53945,25,abortive,
70.98.1.1,172.28.214.23,1257260067668382,1257260067668532,2,47044,113,invalid,rst_during_handshake
172.28.214.23,70.98.1.1,1257260068686405,1257260069809288,19,40152,25,abortive,
