src,dst,st,et,p,sp,dp,ct,ir
12.1.248.28,172.28.4.7,1257257914778567,1257257924279034,4,59514,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257257914778763,1257257925281554,4,14467,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257257918777211,1257257940681898,5,12245,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257257922775359,1257257945282005,5,24387,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257257926773617,1257257926773617,1,15189,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257257930771888,1257257930771888,1,13442,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257257934770146,1257257934770146,1,25528,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257257938768452,1257257938768452,1,33549,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257257942766862,1257257942766862,1,13116,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257257946764961,1257257946764961,1,48072,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257257950763259,1257257972482625,5,58128,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257257954761723,1257257977082720,5,42409,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257257958759860,1257257958759860,1,12469,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257257962758165,1257257962758165,1,24543,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257257966756455,1257257989082998,5,17204,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257257970754932,1257257970755107,2,50124,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257257974753064,1257257997283164,5,35664,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257257978751322,1257257978751322,1,17489,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257257982749600,1257258004883358,5,31697,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257257986748025,1257257996083157,4,42652,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257257990746264,1257257990746264,1,16255,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257257994744610,1257258088661664,7,26891,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257257998742710,1257257998742710,1,9397,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257258002741148,1257258002741356,2,43890,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257258721759214,1257258731269112,4,42175,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257258721759510,1257258721759510,1,35414,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257258725759956,1257258725759956,1,56278,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257258729760292,1257258751669566,5,13922,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257258733760585,1257258733760585,1,30659,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257258737760947,1257258737760947,1,25550,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257258741761339,1257258741761339,1,16037,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257258745761701,1257258745761701,1,8395,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257258749762053,1257258749762053,1,14976,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257258753762409,1257258776270127,5,37856,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257258757762835,1257258757762835,1,36376,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257258761763113,1257258761763113,1,21681,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257258765763483,1257258787870375,5,34054,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257258769763846,1257258779070181,4,41497,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257258773764159,1257258796070571,5,31193,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257258777764493,1257258777764493,1,46191,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257258781764979,1257258803870742,5,9739,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257258785765143,1257258808070835,5,4085,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257258789765594,1257258789765594,1,60199,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257258793765801,1257258815470997,5,20597,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257258797766171,1257258807670825,4,11037,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257258801766678,1257258895272781,7,2740,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257258805766871,1257258815271000,4,52483,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257258809767335,1257258809767335,1,44829,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257264528811136,1257264528811136,1,18830,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257264528811196,1257264528811196,1,19240,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257264532811385,1257264532811385,1,54768,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257264536811582,1257264536811582,1,35989,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257264540811837,1257264540811837,1,24971,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257264544812186,1257264544812186,1,45160,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257264548812326,1257264548812326,1,42916,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257264552812584,1257264552812584,1,50792,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257264556812830,1257264556812830,1,15872,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257264560813110,1257264560813110,1,50070,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257264564813375,1257264564813375,1,35761,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257264568815691,1257264568815691,1,3658,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257264572815920,1257264572815920,1,30874,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257264576816359,1257264576816359,1,23205,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257264580816469,1257264580816469,1,22368,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257264584816878,1257264584816878,1,27679,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257264588817002,1257264588817002,1,22535,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257264592817264,1257264592817264,1,48993,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257264596817678,1257264600650127,3,23933,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257264600817920,1257264600817920,1,23628,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257264604818056,1257264608650304,3,34729,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257264608818316,1257264608818316,1,21197,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257264612818560,1257264622250598,4,30559,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257264616818823,1257264626447132,4,4716,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257273970772448,1257273970772448,1,7979,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257273970772804,1257273970772804,1,4763,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257273974773181,1257273974773181,1,30839,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257273978773451,1257273978773451,1,33515,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257273982773542,1257273982773542,1,60813,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257273986773868,1257273986773868,1,16703,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257273990774255,1257274000441573,4,28326,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257273994774609,1257273994774609,1,57808,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257273998774877,1257273998774877,1,15602,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257274002775062,1257274023847318,5,49644,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257274006781359,1257274006781359,1,30200,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257274010781857,1257274010781857,1,47947,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257274014782028,1257274036848382,5,44818,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257274018782378,1257274018782378,1,48132,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257274022782885,1257274045248589,5,46641,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257274026782987,1257274036248376,4,58925,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257274030783269,1257274052048715,5,47977,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257274034783555,1257274043848545,4,46357,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257274038783871,1257274038783871,1,52724,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257274042784201,1257274065249022,5,52700,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257274046784606,1257274056048839,4,7842,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257274050784748,1257274060848924,4,26451,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257274054785044,1257274054785206,2,6569,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257274058785325,1257274068249102,4,34950,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257275934707375,1257275934707375,1,59794,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257275934707566,1257275934707566,1,52011,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257275938707886,1257275938707886,1,55262,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257275942708266,1257275953003662,4,15473,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257275946708404,1257275946708404,1,27253,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257275950708850,1257275950708850,1,59152,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257275954708981,1257275964403909,4,31520,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257275958709225,1257275968604005,4,54059,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257275962709524,1257275962709524,1,45858,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257275966709981,1257275966709981,1,8259,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257275970710138,1257275992404526,5,36776,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257275974710449,1257275974710449,1,47919,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257275978710762,1257275978710762,1,26711,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257275982711059,1257275982711059,1,30872,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257275986711369,1257276009004900,5,50339,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257275990711660,1257276000204711,4,45015,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257275994711966,1257275994711966,1,1967,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257275998712414,1257275998712414,1,21679,80,invalid,incomplete_no_synack
12.1.248.28,172.28.4.7,1257276002712535,1257276025205271,5,60241,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257276006712815,1257276010605115,3,20044,80,invalid,incomplete_no_ack
12.1.248.28,172.28.4.7,1257276010713093,1257276010713093,1,20072,80,invalid,incomplete_no_synack
