src,dst,st,et,p,sp,dp,ct,ir
172.28.6.9,64.180.1.1,1257259176817695,1257259177861168,19,52735,25,abortive,
64.180.1.1,172.28.6.9,1257259176820463,1257259176820601,2,60670,113,invalid,rst_during_handshake
172.28.6.9,64.180.1.1,1257259177848843,1257259178891370,19,50829,25,abortive,
64.180.1.1,172.28.6.9,1257259177851228,1257259177851379,2,60990,113,invalid,rst_during_handshake
172.28.6.9,64.180.1.1,1257259191367661,1257259192430713,19,57242,25,abortive,
64.180.1.1,172.28.6.9,1257259191370080,1257259191370234,2,43114,113,invalid,rst_during_handshake
172.28.6.9,64.180.1.1,1257259195521944,1257259196589270,19,57849,25,abortive,
64.180.1.1,172.28.6.9,1257259195524548,1257259195524751,2,48242,113,invalid,rst_during_handshake
172.28.6.9,64.180.1.1,1257259196542082,1257259197621071,19,50225,25,abortive,
64.180.1.1,172.28.6.9,1257259196545070,1257259196545279,2,36476,113,invalid,rst_during_handshake
172.28.6.9,64.180.1.1,1257259198642990,1257259199680885,19,47672,25,abortive,
64.180.1.1,172.28.6.9,1257259198645451,1257259198645600,2,46330,113,invalid,rst_during_handshake
172.28.6.9,64.180.1.1,1257259199673042,1257259200911799,19,49177,25,abortive,
64.180.1.1,172.28.6.9,1257259199675818,1257259199676019,2,47574,113,invalid,rst_during_handshake
172.28.6.9,64.180.1.1,1257259201845627,1257259202878059,19,51043,25,abortive,
64.180.1.1,172.28.6.9,1257259201848130,1257259201848325,2,52192,113,invalid,rst_during_handshake
172.28.6.9,64.180.1.1,1257259205379703,1257259206488950,19,58369,25,abortive,
64.180.1.1,172.28.6.9,1257259205384385,1257259205384546,2,55170,113,invalid,rst_during_handshake
172.28.6.9,64.180.1.1,1257259208587688,1257259213721405,19,47795,25,abortive,
64.180.1.1,172.28.6.9,1257259208590132,1257259208590281,2,36916,113,invalid,rst_during_handshake
172.28.6.9,64.180.1.1,1257259214406637,1257259215650640,19,57502,25,abortive,
64.180.1.1,172.28.6.9,1257259214409009,1257259214409158,2,35627,113,invalid,rst_during_handshake
172.28.6.9,64.180.1.1,1257283661773956,1257283663346082,21,51097,25,abortive,
64.180.1.1,172.28.6.9,1257283661776421,1257283661776569,2,45710,113,invalid,rst_during_handshake
172.28.6.9,64.180.1.1,1257283664926206,1257283666045935,19,45633,25,abortive,
64.180.1.1,172.28.6.9,1257283664928928,1257283664929226,2,46852,113,invalid,rst_during_handshake
172.28.6.9,64.180.1.1,1257283671195512,1257283672252880,19,38871,25,abortive,
64.180.1.1,172.28.6.9,1257283671197889,1257283671198038,2,43356,113,invalid,rst_during_handshake
172.28.6.9,64.180.1.1,1257283678438418,1257283679527346,19,36855,25,abortive,
64.180.1.1,172.28.6.9,1257283678441208,1257283678441393,2,53167,113,invalid,rst_during_handshake
172.28.6.9,64.180.1.1,1257283679480551,1257283680548532,19,51012,25,abortive,
64.180.1.1,172.28.6.9,1257283679482913,1257283679483062,2,34522,113,invalid,rst_during_handshake
172.28.6.9,64.180.1.1,1257283688818191,1257283689845798,19,60617,25,abortive,
64.180.1.1,172.28.6.9,1257283688820725,1257283688820869,2,47617,113,invalid,rst_during_handshake
172.28.6.9,64.180.1.1,1257283689845527,1257283690881804,19,41833,25,abortive,
64.180.1.1,172.28.6.9,1257283689848058,1257283689848205,2,49715,113,invalid,rst_during_handshake
172.28.6.9,64.180.1.1,1257283690881194,1257283691911652,19,51370,25,abortive,
64.180.1.1,172.28.6.9,1257283690883672,1257283690883821,2,35251,113,invalid,rst_during_handshake
172.28.6.9,64.180.1.1,1257283692944392,1257283694008643,19,55880,25,abortive,
64.180.1.1,172.28.6.9,1257283692946838,1257283692946986,2,38682,113,invalid,rst_during_handshake
172.28.6.9,64.180.1.1,1257283694991875,1257283696022872,19,46346,25,abortive,
64.180.1.1,172.28.6.9,1257283694994312,1257283694994463,2,52015,113,invalid,rst_during_handshake
172.28.6.9,64.180.1.1,1257283702228635,1257283707583360,21,40998,25,abortive,
64.180.1.1,172.28.6.9,1257283702231045,1257283702231196,2,55244,113,invalid,rst_during_handshake
172.28.6.9,64.180.1.1,1257283710578525,1257283711722362,19,60695,25,abortive,
64.180.1.1,172.28.6.9,1257283710581141,1257283710581290,2,43455,113,invalid,rst_during_handshake
172.28.6.9,64.180.1.1,1257283715809805,1257283716889866,19,40953,25,abortive,
64.180.1.1,172.28.6.9,1257283715812260,1257283715812410,2,56127,113,invalid,rst_during_handshake
172.28.6.9,64.180.1.1,1257283717861390,1257283718881327,19,48980,25,abortive,
64.180.1.1,172.28.6.9,1257283717863810,1257283717863960,2,51670,113,invalid,rst_during_handshake
172.28.6.9,64.180.1.1,1257283725040952,1257283726068409,19,36165,25,abortive,
64.180.1.1,172.28.6.9,1257283725043312,1257283725043460,2,43425,113,invalid,rst_during_handshake
172.28.6.9,64.180.1.1,1257283728104097,1257283729135611,19,33569,25,abortive,
64.180.1.1,172.28.6.9,1257283728106594,1257283728106745,2,42624,113,invalid,rst_during_handshake
172.28.6.9,64.180.1.1,1257283730147780,1257283731261323,19,52074,25,abortive,
64.180.1.1,172.28.6.9,1257283730152608,1257283730152757,2,46114,113,invalid,rst_during_handshake
172.28.6.9,64.180.1.1,1257283731224398,1257283732308257,19,37054,25,abortive,
64.180.1.1,172.28.6.9,1257283731226788,1257283731226937,2,54616,113,invalid,rst_during_handshake
172.28.6.9,64.180.1.1,1257283732268564,1257283733342476,19,47246,25,abortive,
64.180.1.1,172.28.6.9,1257283732271871,1257283732272048,2,53693,113,invalid,rst_during_handshake
172.28.6.9,64.180.1.1,1257283733293245,1257283734316112,19,37167,25,abortive,
64.180.1.1,172.28.6.9,1257283733295586,1257283733295735,2,46123,113,invalid,rst_during_handshake
172.28.6.9,64.180.1.1,1257283735348298,1257283736373968,19,58608,25,abortive,
64.180.1.1,172.28.6.9,1257283735350883,1257283735351033,2,47376,113,invalid,rst_during_handshake
172.28.6.9,64.180.1.1,1257283736371284,1257283737392074,19,54227,25,abortive,
64.180.1.1,172.28.6.9,1257283736373849,1257283736374005,2,37080,113,invalid,rst_during_handshake
