src,dst,st,et,p,sp,dp,ct,ir
172.28.212.85,77.91.104.22,1257259988765991,1257260052913695,11,48614,80,abortive,
172.28.212.85,77.91.104.22,1257259988773507,1257260052913704,15,51298,80,abortive,
172.28.212.85,77.91.104.22,1257263636724702,1257263726684209,11,45675,80,abortive,
172.28.212.85,77.91.104.22,1257263636732143,1257263726684223,19,56146,80,abortive,
172.28.212.85,77.91.104.22,1257327090808924,1257327153235213,11,53209,80,abortive,
172.28.212.85,77.91.104.22,1257327090816481,1257327153235226,15,60178,80,abortive,
172.28.212.85,77.91.104.22,1257336034714941,1257336219697287,11,37336,80,abortive,
172.28.212.85,77.91.104.22,1257336034722394,1257336219697307,17,49310,80,abortive,
172.28.212.85,77.91.104.22,1257342979745917,1257343094680675,11,56906,80,abortive,
172.28.212.85,77.91.104.22,1257342979753322,1257343094680694,15,33670,80,abortive,
172.28.212.85,77.91.104.22,1257372126771299,1257372126814393,9,41494,80,graceful,
172.28.212.85,77.91.104.22,1257372126780573,1257372126825643,17,59375,80,graceful,
