src,dst,st,et,p,sp,dp,ct,ir
172.28.16.39,24.145.1.1,1257264400854423,1257264401953944,19,56810,25,abortive,
24.145.1.1,172.28.16.39,1257264400865498,1257264400865646,2,34357,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257264402931470,1257264404019796,19,34698,25,abortive,
24.145.1.1,172.28.16.39,1257264402933746,1257264402938894,2,51661,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257264423227757,1257264424445455,19,51819,25,abortive,
24.145.1.1,172.28.16.39,1257264423233289,1257264423233438,2,53740,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257264427400809,1257264428449437,19,34170,25,abortive,
24.145.1.1,172.28.16.39,1257264427403542,1257264427403691,2,48364,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257264429466993,1257264430495466,19,49928,25,abortive,
24.145.1.1,172.28.16.39,1257264429469586,1257264429469774,2,34171,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257264430490150,1257264431511287,19,46774,25,abortive,
24.145.1.1,172.28.16.39,1257264430492843,1257264430492992,2,49559,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257264432529026,1257264433579676,19,41562,25,abortive,
24.145.1.1,172.28.16.39,1257264432531534,1257264432531669,2,45376,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257264438788783,1257264439847784,19,36226,25,abortive,
24.145.1.1,172.28.16.39,1257264438791231,1257264438791381,2,60847,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257285258052695,1257285259102721,19,48317,25,abortive,
24.145.1.1,172.28.16.39,1257285258055199,1257285258055349,2,56039,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257285263239569,1257285264290673,19,39224,25,abortive,
24.145.1.1,172.28.16.39,1257285263242038,1257285263242189,2,60993,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257285268519657,1257285269587531,19,51109,25,abortive,
24.145.1.1,172.28.16.39,1257285268521936,1257285268522084,2,46760,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257285275772637,1257285276881720,19,39818,25,abortive,
24.145.1.1,172.28.16.39,1257285275775339,1257285275775488,2,57841,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257285300274640,1257285301303268,19,45558,25,abortive,
24.145.1.1,172.28.16.39,1257285300276947,1257285300277100,2,39158,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257285303353819,1257285304384903,19,50509,25,abortive,
24.145.1.1,172.28.16.39,1257285303356163,1257285303356314,2,50545,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257285305412501,1257285306446843,19,42544,25,abortive,
24.145.1.1,172.28.16.39,1257285305414946,1257285305415095,2,53276,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257285307473996,1257285308557768,19,43857,25,abortive,
24.145.1.1,172.28.16.39,1257285307494128,1257285307494274,2,46482,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257285314757833,1257285315803037,19,49796,25,abortive,
24.145.1.1,172.28.16.39,1257285314760232,1257285314760383,2,45738,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257285315787806,1257285316878387,19,48198,25,abortive,
24.145.1.1,172.28.16.39,1257285315790190,1257285315790337,2,59621,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257285328476096,1257285330528578,19,38849,25,abortive,
24.145.1.1,172.28.16.39,1257285328482934,1257285328483125,2,48597,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257285334312026,1257285335422761,19,36769,25,abortive,
24.145.1.1,172.28.16.39,1257285334314546,1257285334314695,2,33443,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257285335330708,1257285336468774,19,56600,25,abortive,
24.145.1.1,172.28.16.39,1257285335333126,1257285335333278,2,55695,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257285337401321,1257285338570960,19,43833,25,abortive,
24.145.1.1,172.28.16.39,1257285337403866,1257285337404017,2,44064,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257285338426403,1257285339652865,19,59041,25,abortive,
24.145.1.1,172.28.16.39,1257285338428954,1257285338429104,2,40218,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257285347784411,1257285348835363,19,44004,25,abortive,
24.145.1.1,172.28.16.39,1257285347787138,1257285347787288,2,44628,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257285354156897,1257285355231330,19,48441,25,abortive,
24.145.1.1,172.28.16.39,1257285354159334,1257285354159484,2,60415,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257299807449899,1257299808519015,19,59234,25,abortive,
24.145.1.1,172.28.16.39,1257299807452410,1257299807452560,2,37272,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257299818815991,1257299819873445,19,54040,25,abortive,
24.145.1.1,172.28.16.39,1257299818818493,1257299818818667,2,45833,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257299821893282,1257299823113816,19,51902,25,abortive,
24.145.1.1,172.28.16.39,1257299821895747,1257299821895897,2,41172,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257299822922773,1257299824003928,19,57767,25,abortive,
24.145.1.1,172.28.16.39,1257299822925208,1257299822925357,2,39882,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257299851377282,1257299852449945,19,59461,25,abortive,
24.145.1.1,172.28.16.39,1257299851379996,1257299851380186,2,59660,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257299861699396,1257299862813396,19,43859,25,abortive,
24.145.1.1,172.28.16.39,1257299861701759,1257299861701910,2,54707,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257299885977430,1257299887063475,19,54461,25,abortive,
24.145.1.1,172.28.16.39,1257299885979812,1257299885979960,2,38342,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257299910868504,1257299911982551,19,49295,25,abortive,
24.145.1.1,172.28.16.39,1257299910872251,1257299910872403,2,54790,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257299911910311,1257299913183678,19,42266,25,abortive,
24.145.1.1,172.28.16.39,1257299911912518,1257299911912675,2,49190,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257299915128870,1257299916220873,19,47631,25,abortive,
24.145.1.1,172.28.16.39,1257299915131408,1257299915131554,2,59291,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257299926933028,1257299927958137,19,37087,25,abortive,
24.145.1.1,172.28.16.39,1257299926935444,1257299926935590,2,35234,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257299930030448,1257299931134953,19,45564,25,abortive,
24.145.1.1,172.28.16.39,1257299930032895,1257299930033045,2,57468,113,invalid,rst_during_handshake
172.28.16.39,24.145.1.1,1257299935306387,1257299936383398,19,33880,25,abortive,
