src,dst,st,et,p,sp,dp,ct,ir
20.17.228.67,172.28.4.7,1257257953846613,1257257953846613,1,28184,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257257953847195,1257257953847195,1,21122,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257257957845857,1257257957845857,1,30470,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257257961844139,1257257961844139,1,53511,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257257965842563,1257257965842563,1,10888,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257257969841246,1257257969841246,1,20207,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257257973839514,1257257973839514,1,60397,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257257977838153,1257257977838153,1,3996,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257257981836455,1257257991484084,10,38020,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257257985834632,1257257985834632,1,6300,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257257989832901,1257257989832901,1,20398,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257257993831315,1257258087062422,13,31326,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257257997829581,1257257997829581,1,21652,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257258001827864,1257258005084326,7,25848,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257258005826556,1257258005826556,1,27667,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257258009826704,1257258019283678,4,45822,80,invalid,incomplete_no_ack
20.17.228.67,172.28.4.7,1257258013826926,1257258017283621,3,10839,80,invalid,incomplete_no_ack
20.17.228.67,172.28.4.7,1257258017827154,1257258063073887,6,6017,80,invalid,incomplete_no_ack
20.17.228.67,172.28.4.7,1257258021827387,1257258067071971,6,4109,80,invalid,incomplete_no_ack
20.17.228.67,172.28.4.7,1257258025827626,1257258072468489,6,1657,80,invalid,incomplete_no_ack
20.17.228.67,172.28.4.7,1257258029827857,1257258033483976,3,5762,80,invalid,incomplete_no_ack
20.17.228.67,172.28.4.7,1257258033828114,1257258055077700,5,49194,80,invalid,incomplete_no_ack
20.17.228.67,172.28.4.7,1257258037828337,1257258037828482,2,34381,80,invalid,incomplete_no_ack
20.17.228.67,172.28.4.7,1257258041828568,1257258045282375,3,42540,80,invalid,incomplete_no_ack
20.17.228.67,172.28.4.7,1257258760872440,1257258782071853,13,10589,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257258760872818,1257258760872818,1,11889,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257258764873975,1257258774071112,10,14314,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257258768874706,1257258778071401,10,12741,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257258772875025,1257258794072022,13,26135,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257258776875430,1257258776875430,1,32096,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257258780875782,1257258802870619,13,20547,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257258784876180,1257258794471429,10,38563,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257258788876654,1257258788876654,1,39627,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257258792876845,1257258814870961,11,55662,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257258796877222,1257258807073783,10,28299,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257258800877607,1257258894072739,13,10305,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257258804878121,1257258898472834,11,42742,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257258808878476,1257258808878476,1,12372,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257258812878876,1257258822271145,4,11313,80,invalid,incomplete_no_ack
20.17.228.67,172.28.4.7,1257258816879123,1257258827471266,4,41310,80,invalid,incomplete_no_ack
20.17.228.67,172.28.4.7,1257258820879479,1257258831271350,4,44382,80,invalid,incomplete_no_ack
20.17.228.67,172.28.4.7,1257258824879863,1257258870872219,6,22209,80,invalid,incomplete_no_ack
20.17.228.67,172.28.4.7,1257258828880222,1257258874672202,6,1937,80,invalid,incomplete_no_ack
20.17.228.67,172.28.4.7,1257258832880734,1257258878872402,6,38946,80,invalid,incomplete_no_ack
20.17.228.67,172.28.4.7,1257258836881117,1257258841271551,3,30065,80,invalid,incomplete_no_ack
20.17.228.67,172.28.4.7,1257258840881264,1257258840881410,2,24260,80,invalid,incomplete_no_ack
20.17.228.67,172.28.4.7,1257258844881579,1257258866872139,5,16662,80,invalid,incomplete_no_ack
20.17.228.67,172.28.4.7,1257258848881902,1257258852871820,3,42906,80,invalid,incomplete_no_ack
20.17.228.67,172.28.4.7,1257264567844365,1257264567844365,1,47086,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257264567844721,1257264567844721,1,55595,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257264571845225,1257264571845225,1,12733,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257264575845518,1257264575845518,1,4625,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257264579845784,1257264589650671,10,20294,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257264583846055,1257264583846055,1,21624,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257264587846327,1257264587846327,1,47215,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257264591846587,1257264591846587,1,20768,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257264595846859,1257264595846859,1,10428,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257264599847116,1257264599847116,1,37634,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257264603847363,1257264603847363,1,27444,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257264607847639,1257264701252376,17,52167,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257264611847993,1257264621651346,10,9286,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257264615848118,1257264615848118,1,53783,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257264619848394,1257264630251548,10,32347,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257264623848646,1257264634054259,10,22483,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257264627848881,1257264637251690,10,56812,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257264631849135,1257264677651841,14,6942,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257264635849358,1257264681251929,14,55316,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257264639849591,1257264685448266,12,11529,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257264643849813,1257264653652176,10,23540,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257264647850034,1257264669447282,11,12316,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257264651850258,1257264673651749,9,54192,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257264655850471,1257264659251442,5,2518,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257274009853013,1257274009853013,1,6713,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257274009853398,1257274009853398,1,41580,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257274013854074,1257274013854074,1,19176,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257274017854402,1257274017854402,1,32709,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257274021854687,1257274043849967,13,26702,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257274025855196,1257274025855196,1,23611,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257274029855387,1257274050849082,13,33275,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257274033855991,1257274043849502,10,58474,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257274037856129,1257274037856129,1,40688,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257274041856721,1257274041856721,1,7967,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257274045856987,1257274045856987,1,52720,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257274049857303,1257274059649456,10,7095,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257274053857657,1257274147456867,17,54113,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257274057858119,1257274067650495,10,19723,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257274061858515,1257274071449886,10,57392,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257274065858656,1257274065858656,1,24756,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257274069858924,1257274115650157,14,53477,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257274073859353,1257274120050247,14,5243,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257274077859428,1257274124050335,14,55299,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257274081859682,1257274127850422,12,42073,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257274085860108,1257274107449965,11,27792,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257274089860203,1257274112050068,11,18956,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257274093860470,1257274115650166,9,31968,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257274097860737,1257274144456790,8,34142,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257275973818905,1257275983204962,10,58144,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257275973819184,1257275973819184,1,28370,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257275977819571,1257275988205413,10,43143,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257275981819839,1257275981819839,1,44212,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257275985820237,1257275995605665,10,52598,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257275989820641,1257276000405451,10,35510,80,invalid,invalid_ack
20.17.228.67,172.28.4.7,1257275993821159,1257275993821159,1,35929,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257275997821369,1257275997821369,1,24079,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257276001821848,1257276001821848,1,40282,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257276005821976,1257276005821976,1,25936,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257276009822278,1257276009822278,1,58533,80,invalid,incomplete_no_synack
20.17.228.67,172.28.4.7,1257276013822733,1257276023406502,10,36271,80,invalid,invalid_ack
