src,dst,st,et,p,sp,dp,ct,ir
172.28.13.198,64.180.1.1,1257260079955814,1257260085524715,19,55075,25,abortive,
64.180.1.1,172.28.13.198,1257260079958276,1257260079958424,2,39223,113,invalid,rst_during_handshake
172.28.13.198,64.180.1.1,1257260082002665,1257260085510003,19,44446,25,abortive,
64.180.1.1,172.28.13.198,1257260082005156,1257260082005318,2,57517,113,invalid,rst_during_handshake
172.28.13.198,64.180.1.1,1257260085076620,1257260086789454,21,43456,25,abortive,
64.180.1.1,172.28.13.198,1257260085079132,1257260085079282,2,54217,113,invalid,rst_during_handshake
172.28.13.198,64.180.1.1,1257260087417109,1257260088522550,19,47226,25,abortive,
64.180.1.1,172.28.13.198,1257260087435693,1257260087435843,2,44335,113,invalid,rst_during_handshake
172.28.13.198,64.180.1.1,1257260088489421,1257260089619830,19,45486,25,abortive,
64.180.1.1,172.28.13.198,1257260088491989,1257260088492185,2,51307,113,invalid,rst_during_handshake
172.28.13.198,64.180.1.1,1257260091586220,1257260092618373,19,37087,25,abortive,
64.180.1.1,172.28.13.198,1257260091588641,1257260091588792,2,37050,113,invalid,rst_during_handshake
172.28.13.198,64.180.1.1,1257260092613023,1257260093679914,19,48563,25,abortive,
64.180.1.1,172.28.13.198,1257260092615538,1257260092615689,2,36521,113,invalid,rst_during_handshake
172.28.13.198,64.180.1.1,1257260093644720,1257260094701414,19,35305,25,abortive,
64.180.1.1,172.28.13.198,1257260093647250,1257260093647402,2,40087,113,invalid,rst_during_handshake
172.28.13.198,64.180.1.1,1257260103987297,1257260105054774,19,52660,25,abortive,
64.180.1.1,172.28.13.198,1257260103989975,1257260103990151,2,51457,113,invalid,rst_during_handshake
172.28.13.198,64.180.1.1,1257260105024431,1257260106075078,19,48300,25,abortive,
64.180.1.1,172.28.13.198,1257260105027432,1257260105027632,2,45189,113,invalid,rst_during_handshake
172.28.13.198,64.180.1.1,1257260107084961,1257260108135027,19,33502,25,abortive,
64.180.1.1,172.28.13.198,1257260107087474,1257260107087626,2,40073,113,invalid,rst_during_handshake
172.28.13.198,64.180.1.1,1257260109126025,1257260110246074,19,59439,25,abortive,
64.180.1.1,172.28.13.198,1257260109128171,1257260109131325,2,60640,113,invalid,rst_during_handshake
172.28.13.198,64.180.1.1,1257260115412960,1257260116439955,19,50128,25,abortive,
64.180.1.1,172.28.13.198,1257260115415403,1257260115415550,2,33228,113,invalid,rst_during_handshake
172.28.13.198,64.180.1.1,1257260119517867,1257260120674038,19,60759,25,abortive,
64.180.1.1,172.28.13.198,1257260119520621,1257260119520772,2,44592,113,invalid,rst_during_handshake
172.28.13.198,64.180.1.1,1257260125823052,1257260126934265,19,40241,25,abortive,
64.180.1.1,172.28.13.198,1257260125825626,1257260125825777,2,56107,113,invalid,rst_during_handshake
172.28.13.198,64.180.1.1,1257260135502916,1257260136569491,19,47485,25,abortive,
64.180.1.1,172.28.13.198,1257260135505455,1257260135505605,2,38871,113,invalid,rst_during_handshake
